;x;y;z
F76_M_gt;0,21732263;-0,085101024;-0,165252357
F76_M_vt;0,184609214;-0,074264916;-0,120852865
F76_M_ocele;-0,008041418;-0,010792229;0,109523831
F76_M_oe;0,001715469;-0,010760315;0,064734144
F76_M_dm;0,194769297;-0,071992877;-0,106508177
F76_M_dldm;0,183122634;-0,05830669;-0,178375651
F76_M_oceld;-0,009031755;-0,011598582;0,117386163
F76_M_od;0,013615302;-0,01309362;0,066620252
F7_F_gbuv;0,079762453;-0,031219791;-0,053757788
F7_F_vbuv;0,085795832;-0,033146491;-0,055720001
F7_F_dm;0,204946407;-0,067140175;-0,17578843
F7_F_dldvm;0,19939117;-0,058922129;-0,182646922
F7_F_lm;0,167285192;-0,064920405;-0,012777439
H9_F_gbuv;0,083609194;-0,028677963;-0,112163046
H9_F_vbuv;0,095886919;-0,03388822;-0,083473174
H9_F_dm;0,181193852;-0,060756846;-0,147959404
H9_F_dldm;0,194344;-0,054021407;-0,212246418
H9_F_lm;0,210951643;-0,085973555;-0,121400248
H9_F_oceld;0,210951643;-0,085973555;-0,121400248
H9_F_ocele;0,002433332;-0,014718553;0,076334182
G50_F_gbuv;0,083351061;-0,029790971;-0,09807514
G50_F_vbuv;0,086990748;-0,031587455;-0,082777972
G50_F_dm;0,17144108;-0,066714625;-0,108424836
G50_F_dldm;0,186138183;-0,057639061;-0,201869339
G50_F_lm;0,210342479;-0,086682479;-0,102983572
F63_M_gbt_buv;0,086690075;-0,034226132;-0,056013506
F63_M_gbt_t;0,219852146;-0,086621969;-0,177289623
F63_M_vbt_buv;0,069535361;-0,02378311;-0,078334674
F63_M_vbt_t;0,196667934;-0,076767766;-0,152771361
F63_M_oe;-0,00042913;-0,011095425;0,128916127
F63_M_ocele;-0,009193351;-0,014302142;0,13804693
F63_M_dm;0,203816356;-0,068367221;-0,168945681
F63_M_dldmv;0,190393564;-0,058535627;-0,176191704
F63_M_oceld;0,031068828;-0,01759999;0,07994006
F63_M_od;0,019493186;-0,012212734;0,105427893
F15_F_gbuv;0,083847682;-0,029790242;-0,073286605
F15_F_vbuv;0,083670486;-0,030356916;-0,094395067
F15_F_dm;0,16661386;-0,062461249;-0,092076276
F15_F_dldmv;0,233934877;-0,071632335;-0,199118393
F15_F_oceld;0,054607621;-0,020009352;-0,03195272
F15_F_lm;0,140672342;-0,059126939;-0,043838377
F15_F_ocele;0,055059879;-0,018130367;-0,039387001
G75_F_gbuv;0,08102772;-0,030240286;-0,049390526
G75_F_vbuv;0,089551217;-0,032536548;-0,065126941
G75_F_dm;0,174847309;-0,065081754;-0,119953158
G75_F_dldm;0,212474781;-0,071154869;-0,18407339
G75_F_lm;0,130598569;-0,056580639;-0,036022882
F62_M_gt;0,321437583;-0,149475184;-0,12971023
F62_M_vt;0,315619148;-0,146559914;-0,128281056
F62_M_oe;0,012451342;-0,008864521;0,102368473
F62_M_ocele;-0,007073311;-0,009775923;0,127311047
F62_M_dm;0,206175268;-0,074969548;-0,142026703
F62_M_dldm;0,211827651;-0,067281019;-0,16387299
F62_M_oceld;-0,012388686;-0,010496142;0,128239429
F62_M_od;-0,007697535;-0,008846343;0,115082484
G64_F_gbuv;0,081909029;-0,031168724;-0,08152689
G64_F_vbuv;0,087794077;-0,032628264;-0,075735938
G64_F_dm;0,146174451;-0,056479346;-0,076646648
G64_F_dldm;0,210633438;-0,064484307;-0,185901098
G64_F_lm;0,191936234;-0,074717443;-0,099391462
G39_F_gbuv;0,092415254;-0,032962978;-0,095975099
G39_F_vbuv;0,100547818;-0,035561489;-0,118574726
G39_F_dm;0,209984596;-0,072117666;-0,149065315
G39_F_dldvm;0,188279037;-0,050443546;-0,18993968
G39_F_lm;0,158449711;-0,060655071;-0,076325761
G39_F_oceld;0,068766355;-0,029306249;-0,003462778
G39_F_ocele;0,066195512;-0,019099221;-0,04792718
F14_M_gtrosat;0,169123111;-0,065347965;-0,132469353
F14_M_vtrosat;0,19867188;-0,074307515;-0,177961019
F14_M_oe;-0,016956705;-0,009164132;0,033594374
F14_M_ocele;-0,022296006;-0,011757243;0,066039138
F14_M_dm;0,164708431;-0,050467159;-0,147737459
F14_M_dldm;0,198969467;-0,066162466;-0,182592065
F14_M_oceld;-0,012448746;-0,009933012;0,057059875
F14_M_od;-0,023750725;-0,009592333;0,064673094
G34_M_gt;0,364826344;-0,162588349;-0,178522167
G34_M_vt;0,346784173;-0,149405408;-0,191478457
G34_M_ocele;-0,022003702;-0,010501555;0,097338392
G34_M_oe;-0,000464254;-0,015951465;0,089740026
G34_M_dm;0,261001964;-0,091955822;-0,175599865
G34_M_dldm;0,21684005;-0,07039688;-0,171141664
G34_M_oceld;-0,02398674;-0,010308784;0,087128388
G34_M_od;-0,024412299;-0,010483883;0,126154503
G34_M_galtat;0,32293718;-0,142975401;-0,149783981
G97_F_gbuv;0,080078731;-0,028927162;-0,097467815
G97_F_vbuv;0,081835929;-0,030125335;-0,084716286
G97_F_dm;0,206078952;-0,068418839;-0,157388413
G97_F_dldv;0,183289941;-0,041569596;-0,188917004
G97_F_lm;0,192435421;-0,07776501;-0,100155864
G97_F_oceld;0,089807352;-0,029560282;-0,044342756
